0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Elastic_modulus,energy_efficiency,num_reinforced
0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1.48,0.40449233,5
0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1.389821677,0.352299177,6
1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1.389821677,0.352299177,6
0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1.389821677,0.352299177,6
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1.428191341,0.350934198,6
1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1.428191341,0.350934198,6
0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1.428191341,0.350934198,6
0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.418562434,0.332079201,5
0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1.418562434,0.332079201,5
0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.418562434,0.332079201,5
0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1.4336366,0.34562847,6
0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1.4336366,0.34562847,6
0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1.4336366,0.34562847,6
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1.534515681,0.355494012,6
1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.534515681,0.355494012,6
0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1.534515681,0.355494012,6
0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.387586264,0.366967415,5
0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1.387586264,0.366967415,5
0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.387586264,0.366967415,5
0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1.438064882,0.340216504,6
0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1.438064882,0.340216504,6
0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1.438064882,0.340216504,6
0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1.433133177,0.339152842,6
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1.433133177,0.339152842,6
0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1.433133177,0.339152842,6
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.359957199,0.393072246,4
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1.359957199,0.393072246,4
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.359957199,0.393072246,4
0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1.436250062,0.387169039,5
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1.436250062,0.387169039,5
0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1.436250062,0.387169039,5
0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1.435723858,0.345620491,6
1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1.435723858,0.345620491,6
0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1.435723858,0.345620491,6
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.325070481,0.360367849,5
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1.325070481,0.360367849,5
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.325070481,0.360367849,5
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1.397262348,0.361613187,5
1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.397262348,0.361613187,5
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1.397262348,0.361613187,5
1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1.452065291,0.34882091,6
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1.452065291,0.34882091,6
1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1.452065291,0.34882091,6
0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1.470918364,0.349149389,6
0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1.470918364,0.349149389,6
0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1.470918364,0.349149389,6
0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1.405546698,0.34669074,5
0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1.405546698,0.34669074,5
0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1.405546698,0.34669074,5
0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1.507991637,0.376259822,6
0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1.507991637,0.376259822,6
0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1.507991637,0.376259822,6
1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.414095946,0.368198347,5
0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1.414095946,0.368198347,5
1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.414095946,0.368198347,5
0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1.386434975,0.350416828,5
0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1.386434975,0.350416828,5
0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1.386434975,0.350416828,5
0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1.465270431,0.344125625,6
0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1.465270431,0.344125625,6
0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1.465270431,0.344125625,6
1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1.46230412,0.337787467,6
0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1.46230412,0.337787467,6
1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1.46230412,0.337787467,6
0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1.385258835,0.429119852,4
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1.385258835,0.429119852,4
0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1.385258835,0.429119852,4
0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1.348722501,0.346639625,5
0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1.348722501,0.346639625,5
0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1.348722501,0.346639625,5
0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1.365175261,0.377629589,5
0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1.365175261,0.377629589,5
0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1.365175261,0.377629589,5
0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1.447889618,0.324730264,6
0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1.447889618,0.324730264,6
0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1.447889618,0.324730264,6
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1.407009491,0.353507251,5
1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1.407009491,0.353507251,5
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1.407009491,0.353507251,5
0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1.463251036,0.331300298,6
0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1.463251036,0.331300298,6
0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1.463251036,0.331300298,6
0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1.453189567,0.348386387,6
0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1.453189567,0.348386387,6
0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1.453189567,0.348386387,6
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1.418303351,0.364137856,5
0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1.418303351,0.364137856,5
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1.418303351,0.364137856,5
0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.362276628,0.393375197,4
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1.362276628,0.393375197,4
0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.362276628,0.393375197,4
0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1.456390657,0.344412233,6
1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1.456390657,0.344412233,6
0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1.456390657,0.344412233,6
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1.426915505,0.380984017,5
0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1.426915505,0.380984017,5
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1.426915505,0.380984017,5
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1.385471626,0.373915417,5
0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1.385471626,0.373915417,5
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1.385471626,0.373915417,5
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1.430270418,0.327107488,6
0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1.430270418,0.327107488,6
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1.430270418,0.327107488,6
0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1.432118165,0.335022076,6
0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1.432118165,0.335022076,6
0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1.432118165,0.335022076,6
0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1.395187672,0.313539993,6
1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1.395187672,0.313539993,6
0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1.395187672,0.313539993,6
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.367803983,0.391012172,4
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.367803983,0.391012172,4
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1.367803983,0.391012172,4
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.400683303,0.347714846,5
0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1.400683303,0.347714846,5
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1.400683303,0.347714846,5
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1.424558228,0.364315461,5
0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1.424558228,0.364315461,5
0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1.424558228,0.364315461,5
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4499706,0.361457288,6
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1.4499706,0.361457288,6
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1.4499706,0.361457288,6
0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1.455015012,0.33990745,6
0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1.455015012,0.33990745,6
0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1.455015012,0.33990745,6
0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1.432779174,0.335571382,6
1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1.432779174,0.335571382,6
0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1.432779174,0.335571382,6
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1.410987851,0.358250819,5
0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1.410987851,0.358250819,5
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1.410987851,0.358250819,5
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.320298822,0.431336797,3
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.320298822,0.431336797,3
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.320298822,0.431336797,3
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1.410496745,0.391255159,5
1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1.410496745,0.391255159,5
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1.410496745,0.391255159,5
1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1.422071256,0.32498805,6
0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1.422071256,0.32498805,6
1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1.422071256,0.32498805,6
0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.45784395,0.372509692,6
1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1.45784395,0.372509692,6
0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.45784395,0.372509692,6
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1.45653655,0.317115438,6
0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1.45653655,0.317115438,6
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1.45653655,0.317115438,6
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1.440806683,0.313501631,6
1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1.440806683,0.313501631,6
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1.440806683,0.313501631,6
0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1.373073463,0.343765175,5
0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1.373073463,0.343765175,5
0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1.373073463,0.343765175,5
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1.358961174,0.415072758,4
0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.358961174,0.415072758,4
0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1.358961174,0.415072758,4
1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1.445760674,0.335407722,6
0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1.445760674,0.335407722,6
1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1.445760674,0.335407722,6
0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1.456086474,0.332127102,6
0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1.456086474,0.332127102,6
0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1.456086474,0.332127102,6
0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1.438154843,0.332010466,6
1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1.438154843,0.332010466,6
0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1.438154843,0.332010466,6
0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1.43431083,0.383455514,5
0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1.43431083,0.383455514,5
0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1.43431083,0.383455514,5
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1.418816662,0.363081443,5
0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1.418816662,0.363081443,5
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1.418816662,0.363081443,5
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1.404990399,0.349549979,5
0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1.404990399,0.349549979,5
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1.404990399,0.349549979,5
0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1.476656551,0.346390435,6
0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1.476656551,0.346390435,6
0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1.476656551,0.346390435,6
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.377666999,0.36215435,5
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.377666999,0.36215435,5
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.377666999,0.36215435,5
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.36123354,0.377455049,4
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1.36123354,0.377455049,4
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.36123354,0.377455049,4
0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1.418453041,0.347285312,5
0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1.418453041,0.347285312,5
0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1.418453041,0.347285312,5
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1.363102962,0.387552562,4
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.363102962,0.387552562,4
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1.363102962,0.387552562,4
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1.364393451,0.445896083,4
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.364393451,0.445896083,4
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1.364393451,0.445896083,4
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1.449982409,0.339977339,6
0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1.449982409,0.339977339,6
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1.449982409,0.339977339,6
0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1.425617786,0.343097467,6
0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1.425617786,0.343097467,6
0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1.425617786,0.343097467,6
0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1.405996737,0.33632547,5
0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1.405996737,0.33632547,5
0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1.405996737,0.33632547,5
0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1.403968452,0.322289131,6
0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1.403968452,0.322289131,6
0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1.403968452,0.322289131,6
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1.498551804,0.379539544,6
0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1.498551804,0.379539544,6
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1.498551804,0.379539544,6
0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1.471705345,0.350256896,6
1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1.471705345,0.350256896,6
0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1.471705345,0.350256896,6
1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1.413116001,0.362798449,5
0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1.413116001,0.362798449,5
1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1.413116001,0.362798449,5
0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1.391134943,0.329604318,6
0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1.391134943,0.329604318,6
0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1.391134943,0.329604318,6
0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1.464436474,0.380912851,6
0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1.464436474,0.380912851,6
0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1.464436474,0.380912851,6
1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1.449000379,0.331347387,6
0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1.449000379,0.331347387,6
1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1.449000379,0.331347387,6
0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1.425213888,0.359918832,5
0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1.425213888,0.359918832,5
0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1.425213888,0.359918832,5
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.353607937,0.405990263,4
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1.353607937,0.405990263,4
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1.353607937,0.405990263,4
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1.454898963,0.341287844,6
0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1.454898963,0.341287844,6
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1.454898963,0.341287844,6
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1.410462162,0.355259508,5
0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1.410462162,0.355259508,5
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1.410462162,0.355259508,5
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1.353264143,0.440210315,4
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.353264143,0.440210315,4
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1.353264143,0.440210315,4
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.351571969,0.39017497,4
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1.351571969,0.39017497,4
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.351571969,0.39017497,4
0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1.498773339,0.362782828,6
0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1.498773339,0.362782828,6
0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1.498773339,0.362782828,6
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1.430539676,0.323184646,6
0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1.430539676,0.323184646,6
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1.430539676,0.323184646,6
1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.400106275,0.357217479,5
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1.400106275,0.357217479,5
1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.400106275,0.357217479,5
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1.446929714,0.332606752,6
0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1.446929714,0.332606752,6
0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1.446929714,0.332606752,6
0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1.475686423,0.342161796,6
0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1.475686423,0.342161796,6
0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1.475686423,0.342161796,6
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1.399890125,0.339255525,5
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1.399890125,0.339255525,5
0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1.399890125,0.339255525,5
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1.478432968,0.34142882,6
0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1.478432968,0.34142882,6
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1.478432968,0.34142882,6
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1.400991861,0.372568606,5
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1.400991861,0.372568606,5
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1.400991861,0.372568606,5
0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1.417061255,0.341908227,6
0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1.417061255,0.341908227,6
0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1.417061255,0.341908227,6
0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1.402211733,0.374450021,5
0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1.402211733,0.374450021,5
0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1.402211733,0.374450021,5
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1.44613571,0.342948295,6
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1.44613571,0.342948295,6
1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1.44613571,0.342948295,6
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1.373201091,0.430167475,4
0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1.373201091,0.430167475,4
0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1.373201091,0.430167475,4
0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.396208627,0.358693441,5
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1.396208627,0.358693441,5
0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.396208627,0.358693441,5
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1.499224261,0.336495278,6
0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1.499224261,0.336495278,6
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1.499224261,0.336495278,6
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1.45011824,0.335158236,6
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1.45011824,0.335158236,6
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1.45011824,0.335158236,6
0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1.41210686,0.323361919,6
0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1.41210686,0.323361919,6
0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1.41210686,0.323361919,6
0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1.472891245,0.368816432,6
0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1.472891245,0.368816432,6
0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1.472891245,0.368816432,6
0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1.398837409,0.344278757,5
0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.398837409,0.344278757,5
0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1.398837409,0.344278757,5
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1.389114697,0.326816455,5
0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1.389114697,0.326816455,5
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1.389114697,0.326816455,5
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.362118171,0.412507273,4
0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.362118171,0.412507273,4
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.362118171,0.412507273,4
1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.397633372,0.374123634,5
0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1.397633372,0.374123634,5
1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1.397633372,0.374123634,5
0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1.430347819,0.372560118,5
1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.430347819,0.372560118,5
